,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
36,Charlotte Hornets,Brooklyn Nets,0.333,0.448,0.355,0.594,42.1,29.3,13.8,9.3,4.8,-2.3,105.1,107.4,0.532,0.667,0.472,0.423,0.784,46.5,21.7,17.5,6.4,7.0,16.6,112.1,95.8,0.61,1,12/27/2020
37,Washington Wizards,Orlando Magic,0.0,0.477,0.354,0.656,40.9,26.1,14.8,5.7,3.5,-7.2,106.9,113.8,0.557,1.0,0.474,0.357,0.814,44.0,21.1,13.2,9.1,1.9,7.2,114.2,107.3,0.584,0,12/27/2020
38,New Orleans Pelicans,San Antonio Spurs,0.667,0.433,0.337,0.695,46.9,20.8,17.8,10.6,4.3,1.3,102.0,101.3,0.536,0.667,0.468,0.368,0.83,47.3,28.8,13.4,5.4,6.7,4.5,110.2,105.1,0.561,1,12/27/2020
39,Los Angeles Lakers,Portland Trail Blazers,0.5,0.516,0.392,0.769,45.0,26.0,16.5,6.1,6.1,10.7,117.0,106.3,0.618,0.667,0.444,0.379,0.764,42.2,25.0,9.7,8.1,4.5,-3.2,111.4,115.7,0.553,0,12/28/2020
40,Brooklyn Nets,Memphis Grizzlies,0.5,0.454,0.399,0.8,46.1,22.6,16.9,7.8,6.6,11.1,108.9,98.3,0.584,0.333,0.448,0.333,0.763,44.4,20.7,12.3,6.5,5.6,-5.2,107.1,112.0,0.543,0,12/28/2020
41,Atlanta Hawks,Detroit Pistons,1.0,0.482,0.416,0.859,46.5,24.7,16.3,4.8,4.8,12.2,119.9,107.7,0.635,0.0,0.443,0.306,0.734,45.7,23.6,14.4,6.4,3.4,-8.3,104.3,112.2,0.536,1,12/28/2020
42,Denver Nuggets,Houston Rockets,0.333,0.489,0.344,0.701,41.8,27.0,14.1,6.8,6.1,-0.6,113.8,114.5,0.582,0.0,0.486,0.365,0.764,37.9,24.6,15.2,6.2,3.8,-7.1,112.3,118.9,0.601,1,12/28/2020
43,Oklahoma City Thunder,Utah Jazz,0.5,0.46,0.338,0.767,44.2,22.3,16.5,9.2,5.8,0.5,105.8,105.9,0.565,0.667,0.445,0.35,0.786,52.3,20.7,15.5,5.6,4.3,5.3,112.2,106.6,0.559,0,12/28/2020
44,Philadelphia 76ers,Toronto Raptors,0.75,0.435,0.307,0.776,45.7,21.3,17.6,9.5,7.1,2.2,101.7,100.2,0.54,0.0,0.415,0.348,0.78,40.9,25.2,16.9,9.6,6.7,-8.3,97.8,105.7,0.522,1,12/29/2020
45,Phoenix Suns,New Orleans Pelicans,0.75,0.456,0.353,0.814,44.0,26.1,12.8,7.0,4.8,10.6,109.5,99.0,0.565,0.5,0.444,0.296,0.66,46.1,20.4,18.1,10.1,4.0,-5.3,99.5,105.9,0.529,1,12/29/2020
46,LA Clippers,Minnesota Timberwolves,0.75,0.477,0.373,0.823,40.8,25.3,16.8,6.9,4.8,-2.0,110.7,112.2,0.593,0.5,0.415,0.301,0.779,42.6,22.4,13.1,8.0,5.4,-10.7,101.9,112.7,0.505,1,12/29/2020
47,Cleveland Cavaliers,New York Knicks,0.75,0.477,0.374,0.705,44.3,27.2,16.2,11.9,5.4,7.3,106.1,99.3,0.561,0.5,0.455,0.459,0.734,46.3,23.7,18.9,7.1,5.5,-1.3,106.0,106.2,0.564,0,12/29/2020
48,Miami Heat,Milwaukee Bucks,0.333,0.494,0.362,0.783,35.4,25.2,20.0,10.2,3.3,-13.1,103.3,115.6,0.598,0.5,0.512,0.438,0.761,48.6,24.2,15.0,7.5,4.1,15.7,123.9,109.0,0.632,0,12/29/2020
49,Detroit Pistons,Golden State Warriors,0.0,0.428,0.321,0.753,45.8,23.1,14.6,6.8,4.0,-8.7,105.2,113.4,0.529,0.5,0.399,0.329,0.781,39.4,19.8,13.8,8.3,5.5,-12.4,102.1,114.3,0.517,0,12/29/2020
